epoch,combined_denoising_loss,loss,psnr_metric,ssim_metric,val_combined_denoising_loss,val_loss,val_psnr_metric,val_ssim_metric,learning_rate
184,0.0072,0.0069,40.5166,0.9925,0.0072,0.0069,40.5340,0.9925,1.0000e-04
185,0.0072,0.0069,40.5181,0.9925,0.0071,0.0069,40.5713,0.9926,1.0000e-04
186,0.0072,0.0069,40.5250,0.9925,0.0071,0.0069,40.5865,0.9926,1.0000e-04
187,0.0072,0.0069,40.5273,0.9925,0.0074,0.0071,40.2941,0.9924,1.0000e-04
188,0.0072,0.0069,40.5319,0.9925,0.0071,0.0068,40.5868,0.9926,1.0000e-04
189,0.0072,0.0069,40.5339,0.9925,0.0074,0.0071,40.2531,0.9924,1.0000e-04
190,0.0072,0.0069,40.5396,0.9925,0.0072,0.0070,40.4308,0.9927,1.0000e-04
191,0.0072,0.0069,40.5420,0.9925,0.0071,0.0069,40.5743,0.9926,1.0000e-04
192,0.0072,0.0069,40.5458,0.9925,0.0071,0.0068,40.6434,0.9927,1.0000e-04
193,0.0072,0.0069,40.5453,0.9925,0.0072,0.0069,40.5460,0.9925,1.0000e-04
194,0.0072,0.0069,40.5496,0.9925,0.0072,0.0070,40.4582,0.9925,1.0000e-04
195,0.0072,0.0069,40.5553,0.9926,0.0071,0.0069,40.5695,0.9927,1.0000e-04
196,0.0072,0.0069,40.5606,0.9926,0.0071,0.0068,40.6467,0.9926,1.0000e-04
197,0.0072,0.0069,40.5593,0.9926,0.0071,0.0068,40.6424,0.9924,1.0000e-04
198,0.0071,0.0069,40.5682,0.9926,0.0072,0.0069,40.5397,0.9926,1.0000e-04
199,0.0071,0.0069,40.5659,0.9926,0.0071,0.0068,40.6429,0.9927,1.0000e-04
200,0.0071,0.0069,40.5741,0.9926,0.0072,0.0069,40.5354,0.9926,1.0000e-04
201,0.0071,0.0069,40.5752,0.9926,0.0072,0.0069,40.5997,0.9925,1.0000e-04
202,0.0071,0.0069,40.5797,0.9926,0.0071,0.0069,40.5431,0.9927,1.0000e-04
203,0.0071,0.0069,40.5842,0.9926,0.0071,0.0068,40.6507,0.9927,1.0000e-04
204,0.0071,0.0069,40.5846,0.9926,0.0071,0.0069,40.6013,0.9926,1.0000e-04
205,0.0071,0.0069,40.5868,0.9926,0.0075,0.0072,40.2106,0.9923,1.0000e-04
206,0.0071,0.0069,40.5917,0.9926,0.0070,0.0067,40.6982,0.9927,1.0000e-04
207,0.0071,0.0069,40.5936,0.9926,0.0071,0.0068,40.5992,0.9924,1.0000e-04
208,0.0071,0.0068,40.5989,0.9926,0.0072,0.0069,40.5480,0.9926,1.0000e-04
209,0.0071,0.0068,40.6039,0.9926,0.0071,0.0069,40.5992,0.9926,1.0000e-04
210,0.0071,0.0068,40.6085,0.9926,0.0070,0.0067,40.7110,0.9927,1.0000e-04
211,0.0071,0.0068,40.6064,0.9926,0.0071,0.0068,40.5930,0.9926,1.0000e-04
212,0.0071,0.0068,40.6066,0.9926,0.0072,0.0069,40.5670,0.9925,1.0000e-04
213,0.0071,0.0068,40.6125,0.9926,0.0071,0.0068,40.6525,0.9927,1.0000e-04
214,0.0071,0.0068,40.6205,0.9926,0.0071,0.0068,40.6136,0.9927,1.0000e-04
215,0.0071,0.0068,40.6183,0.9926,0.0071,0.0069,40.5868,0.9926,1.0000e-04
216,0.0071,0.0068,40.6244,0.9926,0.0070,0.0068,40.6795,0.9927,1.0000e-04
217,0.0071,0.0068,40.6261,0.9927,0.0073,0.0071,40.3450,0.9925,1.0000e-04
218,0.0071,0.0068,40.6309,0.9927,0.0070,0.0067,40.7498,0.9928,1.0000e-04
219,0.0071,0.0068,40.6292,0.9927,0.0071,0.0068,40.6630,0.9927,1.0000e-04
220,0.0071,0.0068,40.6347,0.9927,0.0071,0.0068,40.6553,0.9925,1.0000e-04
221,0.0071,0.0068,40.6397,0.9927,0.0073,0.0070,40.3625,0.9925,1.0000e-04
222,0.0071,0.0068,40.6389,0.9927,0.0071,0.0068,40.6481,0.9926,1.0000e-04
223,0.0071,0.0068,40.6431,0.9927,0.0071,0.0068,40.6130,0.9928,1.0000e-04
224,0.0071,0.0068,40.6448,0.9927,0.0071,0.0068,40.6728,0.9927,1.0000e-04
225,0.0071,0.0068,40.6493,0.9927,0.0071,0.0068,40.6850,0.9927,1.0000e-04
226,0.0071,0.0068,40.6478,0.9927,0.0072,0.0069,40.5152,0.9924,1.0000e-04
227,0.0071,0.0068,40.6544,0.9927,0.0071,0.0068,40.6398,0.9925,1.0000e-04
228,0.0071,0.0068,40.6570,0.9927,0.0071,0.0068,40.6343,0.9927,1.0000e-04
229,0.0071,0.0068,40.6617,0.9927,0.0070,0.0068,40.6851,0.9927,1.0000e-04
230,0.0071,0.0068,40.6616,0.9927,0.0072,0.0069,40.5435,0.9927,1.0000e-04
231,0.0071,0.0068,40.6653,0.9927,0.0071,0.0068,40.6454,0.9928,1.0000e-04
232,0.0071,0.0068,40.6671,0.9927,0.0071,0.0068,40.6352,0.9927,1.0000e-04
233,0.0071,0.0068,40.6656,0.9927,0.0070,0.0067,40.7340,0.9928,1.0000e-04
234,0.0070,0.0068,40.6730,0.9927,0.0070,0.0067,40.7388,0.9928,1.0000e-04
235,0.0070,0.0068,40.6742,0.9927,0.0071,0.0068,40.6783,0.9925,1.0000e-04
236,0.0070,0.0068,40.6781,0.9927,0.0070,0.0068,40.6746,0.9928,1.0000e-04
237,0.0070,0.0068,40.6839,0.9927,0.0070,0.0067,40.7235,0.9927,1.0000e-04
238,0.0070,0.0068,40.6869,0.9927,0.0071,0.0069,40.6225,0.9928,1.0000e-04
239,0.0070,0.0068,40.6908,0.9927,0.0070,0.0068,40.6991,0.9927,1.0000e-04
240,0.0070,0.0068,40.6899,0.9927,0.0070,0.0068,40.6839,0.9927,1.0000e-04
241,0.0070,0.0068,40.6960,0.9927,0.0071,0.0068,40.6479,0.9928,1.0000e-04
242,0.0070,0.0068,40.6992,0.9927,0.0070,0.0068,40.6797,0.9928,1.0000e-04
243,0.0070,0.0068,40.7015,0.9927,0.0071,0.0067,40.7203,0.9925,1.0000e-04
244,0.0070,0.0068,40.7048,0.9927,0.0070,0.0067,40.7496,0.9929,1.0000e-04
245,0.0070,0.0068,40.7061,0.9927,0.0070,0.0067,40.7525,0.9929,1.0000e-04
246,0.0070,0.0068,40.7108,0.9928,0.0070,0.0067,40.7358,0.9928,1.0000e-04
247,0.0070,0.0068,40.7141,0.9928,0.0069,0.0067,40.8061,0.9929,1.0000e-04
248,0.007016552612185478,9.999999747378752e-05,0.006756463088095188,40.71319580078125,0.9927563667297363,0.006993384566158056,0.006719793193042278,40.75230407714844,0.9927350282669067
249,0.00700969435274601,9.999999747378752e-05,0.006749484688043594,40.72062301635742,0.9927697777748108,0.006969094276428223,0.006716669071465731,40.76174545288086,0.9928418397903442
250,0.00700837466865778,9.999999747378752e-05,0.006748629733920097,40.72199249267578,0.9927695393562317,0.007018119562417269,0.0067901453003287315,40.682308197021484,0.9928780198097229
251,0.00700697535648942,9.999999747378752e-05,0.006746822502464056,40.72367858886719,0.9927679896354675,0.006911822594702244,0.006662358064204454,40.815914154052734,0.9929230213165283
